id,date,title,category
14710,2015-09-28,"Request approval of spending with Whitman, Requardt and Associates, LLP for Construction Management Support.","Budget, Taxes & Finance"
14712,2015-09-28,Approval of Capital Improvement Plan Through 2034.,"Budget, Taxes & Finance"
14735,2015-10-19,Consideration of a Marshall Road SW Revenue Sharing Grant Application.,"Budget, Taxes & Finance"
14787,2015-11-02,Increase FY16 spending with Ferguson Waterworks,"Budget, Taxes & Finance"
14893,2015-12-14,301 & 303 Niblick Drive SE Performance Bond Reduction Request.,"Budget, Taxes & Finance"
14984,2016-01-25,Presentation of Comprehensive Annual Financial Report,"Budget, Taxes & Finance"
14988,2016-01-25,Approve spending with Quarles Fuel.,"Budget, Taxes & Finance"
15012,2016-02-01,"Request to Set The Date to Amend The Fiscal Year 2016 Operating Budget, Public Hearing for February 22, 2016.","Budget, Taxes & Finance"
15013,2016-02-01,Presentation of Comprehensive Annual Financial Report,"Budget, Taxes & Finance"
15017,2016-02-01,Approve spending with Quarles Fuel.,"Budget, Taxes & Finance"
15066,2016-02-22,Public Hearing for Amendment of FY16 Operating Budget,"Budget, Taxes & Finance"
15093,2016-03-07,Request to Set a Public Hearing for the FY17 Real Estate Tax Rate,"Budget, Taxes & Finance"
15094,2016-03-07,Request to Set a Public Hearing for the FY17 Operating Budget,"Budget, Taxes & Finance"
15177,2016-04-04,FY2013 Revenue-Sharing Grant Extension.,"Budget, Taxes & Finance"
15183,2016-04-04,Request to approve additional FY16 spending with HD Supply.,"Budget, Taxes & Finance"
15185,2016-04-04,Public Hearing on FY 2016-2017 Proposed Budget.,"Budget, Taxes & Finance"
15186,2016-04-04,Request to Defer the April 18 Public Hearing on the FY17 Real Estate Tax Rate to May 9,"Budget, Taxes & Finance"
15276,2016-04-18,Request to approve additional FY16 spending with RJ Merkel,"Budget, Taxes & Finance"
15306,2016-05-09,Public Hearing for FY 2016-17 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
15314,2016-05-09,VDOT Resolutions:  Beulah Road Phase II Fund Transfer and FY2013 Revenue-Sharing Grant Funding Confirmation,"Budget, Taxes & Finance"
15387,2016-05-23,Intent to Adopt the Real Estate Tax Rate for FY16-17,"Budget, Taxes & Finance"
15388,2016-05-23,Intent to Adopt the FY 2016-17 Budget.,"Budget, Taxes & Finance"
15391,2016-05-23,"Request for approval of 304 & 308 Adahi Road SE, Performance Bond Reduction Request.","Budget, Taxes & Finance"
15426,2016-06-06,Request approval of FY16 spending with Waste Management Recycle America,"Budget, Taxes & Finance"
15441,2016-06-06,Intent to Adopt the FY 2016-17 Budget.,"Budget, Taxes & Finance"
15506,2016-07-11,"Request approval for additional FY16 spending with Double H Locates in the amount of $20,000","Budget, Taxes & Finance"
15604,2016-08-22,"Renewal of Annual Audit Contract with Robinson, Farmer, Cox Associates PLLC","Budget, Taxes & Finance"
15611,2016-08-22,Contract Renewal for Munis Financial Software Support,"Budget, Taxes & Finance"
15700,2016-09-26,Approval of Capital Improvement Plan through 2034,"Budget, Taxes & Finance"
15737,2016-10-03,Request FY17 spending with Arthur Construction,"Budget, Taxes & Finance"
15740,2016-10-03,Approve FY18 VDOT Revenue Sharing Resolutions,"Budget, Taxes & Finance"
15743,2016-10-03,2017 Town Council & Budget Calendar Dates,"Budget, Taxes & Finance"
15814,2016-11-07,Request Council appropriation of FY 2015-16 encumbrance balances and carry-forward funds into the FY 2016-17 General Fund budget,"Budget, Taxes & Finance"
15815,2016-11-07,"The Fairfax County School Board (FFCSB) seeks approval to provide an additional public-use trailer as a temporary classroom at Cedar Lane School.  The school is located at 101 Cedar Lane, SW and is further identified as Fairfax County Tax Map Parcel 49-1-(2)-3.","Budget, Taxes & Finance"
15864,2016-11-21,The Fairfax County School Board (FFCSB) seeks approval to provide an additional public-use trailer as a temporary classroom at Cedar Lane School. The school is located at 101 Cedar Lane SW and is further identified as Fairfax County Tax Map Parcel 49-1-(2)-3.,"Budget, Taxes & Finance"
15892,2016-12-05,The Fairfax County School Board (FFCSB) seeks approval to provide an additional public-use trailer as a temporary classroom at Cedar Lane School. The school is located at 101 Cedar Lane SW and is further identified as Fairfax County Tax Map Parcel 49-1-(2)-3.,"Budget, Taxes & Finance"
15937,2017-01-09,Presentation of Comprehensive Annual Financial Report,"Budget, Taxes & Finance"
